# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.8 on 2025-07-14 at 09:48:07
#
# Requested input R.A. = 284.3790771 degrees
# Requested input Dec. = 16.894322 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460871.0360415294 days
# Authenticated program IDs = 1, 2, 3
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://irsa.ipac.caltech.edu/data/ZTF/docs/forcedphot.pdf
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 589 1 1 ZTF_g 449505520115 0 2.5144 94.143 6.87137 26.2643 3.1633e-06 0.0175755 -0.0433038 3.97558e-06 1806 30. 0.092732 0.089317 20.554 26.2643 1 2458204.0055208 589120101 -46.9978643390174 25.9342328841305 -2.01585605747453 1.06537462629036 -15.4553566856984 41.5565916022769 -0.374415918204094 1.0960180646906 1.52917588432874 20.2609998703003 0.0700000002980232 1.68499994277954 0.063000001013279 2458204.005521 2458293.913194 0
 1 589 1 1 ZTF_g 452492520115 0 2.024 95.8328 12.086 26.245 3.6067e-06 0.0185894 -0.0459876 4.48652e-06 1789 30. 0.055609 0.054449 19.8178 26.245 1 2458206.9925231 589120101 216.789449314565 46.348774874234 5.20301028333183 1.0165945960711 370.46964267377 83.6685227624915 4.4576474487406 1.05726810148415 1.52917588432874 20.2609998703003 0.0700000002980232 1.68499994277954 0.063000001013279 2458204.005521 2458293.913194 0
 2 589 1 1 ZTF_g 452529210115 0 1.8253 100.696 11.054 26.2942 3.1787e-06 0.0174628 -0.0416099 3.95308e-06 1795 30. 0.052071 0.052737 20.1077 26.2942 1 2458207.029213 589120101 141.144898576045 36.9602621364198 4.24800426728271 1.04032274175897 42.1050866485941 67.188583866032 0.630890910190991 1.06760779537884 1.52917588432874 20.2609998703003 0.0700000002980232 1.68499994277954 0.063000001013279 2458204.005521 2458293.913194 0
 3 589 1 1 ZTF_g 455515410115 0 2.9886 93.2855 15.3082 26.1989 1.09356e-05 0.0324565 -0.0158766 1.37942e-05 1794 30. 0.087804 0.092524 19.2485 26.1989 1 2458210.0154167 589120101 105.010165631754 81.5860101164353 1.43176074042538 1.00667511815652 174.146450691484 118.423783721828 1.48044025909701 1.13639204910232 1.52917588432874 20.2609998703003 0.0700000002980232 1.68499994277954 0.063000001013279 2458204.005521 2458293.913194 0
 4 589 1 1 ZTF_g 455526950115 0 2.8272 98.1726 16.7325 26.2489 9.4125e-06 0.0301726 -0.00112317 1.17951e-05 1793 30. 0.083266 0.086024 19.2539 26.2489 1 2458210.026956 589120101 -46.3739887393486 83.2468616821306 -0.619671301356834 1.09641155172366 130.421114365217 124.141659532827 1.05765871479682 1.13565127205754 1.52917588432874 20.2609998703003 0.0700000002980232 1.68499994277954 0.063000001013279 2458204.005521 2458293.913194 0
 5 589 1 1 ZTF_r 462506960115 0 6.6972 151.554 16.1384 26.2352 4.6816e-06 0.021167 0.099416 5.87412e-06 1771 30. 0.193992 0.188201 19.4223 26.2352 1 2458217.0069676 589120201 53.1383890303866 65.5427122538502 0.901859274713484 0.866430635890219 27.969421272476 88.2643398359728 0.319016683139438 1.14744104111611 1.69778742291087 18.8140000343323 0.0410000011324883 1.57299995422363 0.034000001847744 2458187.028900 2458343.823287 0
 6 589 1 1 ZTF_r 474453200115 0 3.4038 153.268 18.7164 26.2353 3.2841e-06 0.0178457 0.102125 4.16121e-06 1817 30. 0.178138 0.170872 19.9116 26.2353 1 2458228.953206 589120201 -57.312752277456 47.1102608835833 -1.35328901493333 0.920875694252107 -79.5541665978098 67.5435487290694 -1.18575304368807 1.11070963955304 1.69778742291087 18.8140000343323 0.0410000011324883 1.57299995422363 0.034000001847744 2458187.028900 2458343.823287 0
 7 589 1 1 ZTF_g 477455820115 0 2.3817 95 8.45685 26.2845 3.2079e-06 0.0177666 -0.0376573 4.04089e-06 1808 30. 0.083716 0.084628 20.7381 26.2845 1 2458231.9558218 589120101 37.1016647911245 25.1471471747838 1.64119231571954 0.904526745258355 37.9086931670506 40.9836528457819 0.931200801944421 1.09023269024492 1.52917588432874 20.2609998703003 0.0700000002980232 1.68499994277954 0.063000001013279 2458204.005521 2458293.913194 0
 8 589 1 1 ZTF_g 477458710115 0 2.692 96.4303 6.84111 26.2853 3.306e-06 0.0180082 -0.0379178 4.17229e-06 1811 30. 0.099026 0.093122 20.5643 26.2853 1 2458231.9587153 589120101 53.9289135169235 26.3022690991907 2.28077926041174 1.09675047826298 56.3348638364604 41.238168518256 1.37528615899886 1.09879819759129 1.52917588432874 20.2609998703003 0.0700000002980232 1.68499994277954 0.063000001013279 2458204.005521 2458293.913194 0
