JD,Band,Flux,Fluxerr,Mag,Magerr
2452125.57357,I,0.000673,0.000011,16.481914,0.017746
2452129.65448,I,0.000605,0.000006,16.597563,0.010768
2452132.59697,I,0.000652,0.000008,16.516333,0.013322
2452135.73455,I,0.000644,0.000007,16.529737,0.011801
2452140.69697,I,0.000662,0.000009,16.499807,0.014761
2452144.58508,I,0.000583,0.000008,16.637780,0.014899
2452160.56598,I,0.000560,0.000009,16.681481,0.017449
2452168.63373,I,0.000644,0.000009,16.529737,0.015173
2452175.60744,I,0.000568,0.000013,16.666081,0.024850
2452187.54287,I,0.000657,0.000008,16.508038,0.013221
2452206.53804,I,0.000568,0.000013,16.666081,0.024850
2452331.87897,I,0.000606,0.000008,16.595770,0.014333
2452355.85336,I,0.000599,0.000007,16.608384,0.012688
2452364.91082,I,0.000599,0.000008,16.608384,0.014501
2452372.81151,I,0.000613,0.000007,16.583300,0.012398
2452403.86618,I,0.000617,0.000007,16.576239,0.012318
2452411.81478,I,0.000643,0.000005,16.531424,0.008443
2452414.74643,I,0.000617,0.000007,16.576239,0.012318
2452416.78486,I,0.000632,0.000008,16.550159,0.013743
2452424.87923,I,0.000589,0.000010,16.626663,0.018434
2452428.7797,I,0.000565,0.000008,16.671830,0.015373
2452432.82419,I,0.000553,0.000009,16.695139,0.017670
2452434.69007,I,0.000618,0.000007,16.574480,0.012298
2452436.73841,I,0.000561,0.000007,16.679544,0.013548
2452438.71593,I,0.000507,0.000007,16.789432,0.014990
2452440.7491,I,0.000546,0.000007,16.708970,0.013920
2452443.71858,I,0.000485,0.000008,16.837597,0.017909
2452445.59955,I,0.000586,0.000006,16.632208,0.011117
2452448.59235,I,0.000552,0.000011,16.697104,0.021636
2452453.83949,I,0.000488,0.000008,16.830902,0.017799
2452456.55101,I,0.000537,0.000008,16.727016,0.016175
2452458.68793,I,0.000557,0.000007,16.687314,0.013645
2452460.76028,I,0.000600,0.000008,16.606573,0.014476
2452463.5095,I,0.000633,0.000008,16.548442,0.013722
2452466.71909,I,0.000488,0.000008,16.830902,0.017799
2452468.58845,I,0.000605,0.000006,16.597563,0.010768
2452470.59171,I,0.000593,0.000007,16.619315,0.012816
2452472.6277,I,0.000505,0.000007,16.793723,0.015050
2452481.49042,I,0.000625,0.000012,16.562252,0.020846
2452484.58968,I,0.000531,0.000009,16.739215,0.018402
2452486.68244,I,0.000572,0.000010,16.658461,0.018981
2452490.64896,I,0.000579,0.000009,16.645255,0.016877
2452493.61112,I,0.000602,0.000008,16.602960,0.014428
2452495.68249,I,0.000540,0.000006,16.720967,0.012064
2452497.76648,I,0.000522,0.000008,16.757775,0.016640
2452498.47585,I,0.000489,0.000006,16.828679,0.013322
2452500.50062,I,0.000475,0.000008,16.860218,0.018286
2452502.53342,I,0.000536,0.000007,16.729040,0.014179
2452508.63272,I,0.000566,0.000007,16.669910,0.013428
2452512.58017,I,0.000525,0.000008,16.751553,0.016545
2452517.62203,I,0.000538,0.000006,16.724996,0.012109
2452518.50688,I,0.000459,0.000008,16.897420,0.018924
2452518.60952,I,0.000489,0.000007,16.828679,0.015542
2452518.67999,I,0.000543,0.000008,16.714952,0.015996
2452520.54886,I,0.000519,0.000007,16.764033,0.014644
2452526.63785,I,0.000594,0.000007,16.617485,0.012795
2452537.6175,I,0.000601,0.000012,16.604765,0.021679
2452542.48486,I,0.000596,0.000009,16.613836,0.016395
2452547.55228,I,0.000587,0.000008,16.630356,0.014797
2452551.58975,I,0.000463,0.000010,16.887999,0.023450
2452556.5432,I,0.000471,0.000008,16.869399,0.018441
2452564.50037,I,0.000455,0.000009,16.906923,0.021476
2452575.4988,I,0.000566,0.000009,16.669910,0.017264
2452706.88547,I,0.000502,0.000006,16.800192,0.012977
2452714.86971,I,0.000562,0.000006,16.677611,0.011591
2452728.90091,I,0.000500,0.000008,16.804527,0.017372
2452733.88204,I,0.000521,0.000008,16.759857,0.016672
2452744.86964,I,0.000473,0.000007,16.864799,0.016068
2452753.85529,I,0.000584,0.000008,16.635919,0.014873
