tns_name,internam_names,radeg,decdeg,redshift,discovery_date,discovery_mag,type
SN2022aaad,"ATLAS22blqr,ZTF22abtjefa,,PS23bk",117.444284321,73.6594456228,0.01,2022-11-12 13:43:32.160,16.145,SN II
SN2022aacn,"ZTF22abtmrfr,ATLAS22bltw,PS22lmu,Gaia23ari",11.110125,7.374439,0.017522,2022-11-13 06:50:07.999,18.3968,SN II
SN2022aagp,"ZTF22abtspsw,ATLAS22blxx,PS23aoe",137.674602984,7.20564145452,0.004908,2022-11-14 09:25:37.998,15.7649,SN II
SN2022aahg,"ZTF22abttbmf,PS22nih",156.001074766,-18.5547509846,0.017,2022-11-14 11:43:41.088,18.8464,SN II
SN2022aaix,"ZTF22abtztxv,Gaia23aby",134.275667,-20.0332,0.018556,2022-11-15 10:36:20.998,18.5717,SN II
SN2022aapf,"ZTF22abunrdy,ATLAS23aap,PS23azu",202.456518044,-1.43078971133,0.02128,2022-11-17 13:07:24.997,17.4549,SN II
SN2022aapg,"ZTF22abunrnh,ATLAS23aad,PS23bgs",202.230971859,-2.26289012905,0.013,2022-11-17 13:07:24.997,17.1311,SN II
SN2022aasd,"ZTF22abvaxqi,ATLAS22bmgi,PS22mqj",195.38082479,36.4966144923,0.036,2022-11-16 12:20:55.997,18.3683,SN II
SN2022aatu,"ZTF22abtsybt,ATLAS22bmpy,PS23aep",132.828830899,1.45800653455,0.0386,2022-11-14 11:11:02.400,19.14,SN II
SN2022aatx,"ZTF22abulusd,ATLAS22bmiz,PS22lra",138.81383361,11.8846363028,0.017,2022-11-19 10:39:21.600,17.87,SN II
SN2022aayf,"ZTF22abvcdmu,ATLAS22bmlg",351.35034664444,-20.736890822222,0.0424,2022-11-19 04:03:21.600,19.16,SN II
SN2022aber,"ZTF22abtomri,ATLAS22bmuq",155.35542405,67.53436385,0.04,2022-11-18 11:16:42.004,20.279,SN II
SN2022abgs,"ATLAS22bmfv,ZTF22abvmfrq",165.7508478,-16.2888023,0.013006,2022-11-18 07:51:54.144,17.213,SN II
SN2022abln,",ZTF22abyomle",223.5342609,73.134512,0.02418,2022-11-24 18:55:00.000,17.8,SN II
SN2022abq,"Ric7-2022abqGBObs,ATLAS22cks,Gaia22amp,ZTF22aaacxkp,PS22bry",200.73675,28.319131,0.007979,2022-01-21 01:12:01.000,16.2,SN II
SN2022abwk,"ZTF22abxlqol,ATLAS23anm,Gaia23aoe,PS23bws",206.933292,17.712419,0.026235,2022-11-26 12:57:41.184,19.5034,SN II
SN2022acbf,"ZTF22abxgnre,ATLAS22bnky,PS22mjw",75.5587479376,-12.8746069432,0.015,2022-11-26 08:02:29.996,19.3978,SN II
SN2022acbu,"ZTF22abxomzd,ATLAS22bnfc,PS22mqx,Gaia23acu",37.679833,-2.932489,0.01915,2022-11-30 05:19:40.800,20.34,SN II
SN2022acfz,"ATLAS22bngp,PS22mqy,ZTF22abybbud",114.396896317,35.605512282,0.013343,2022-11-30 11:24:44.064,18.006,SN II
SN2022acge,"ATLAS22bnjm,ZTF22abyoomc,PS23ml",185.859018997,-17.9808312951,0.025,2022-12-02 01:12:39.744,18.339,SN II
SN2022ackj,"ZTF22abqvqie,PS22mqg",133.790185818,57.3512258288,0.026,2022-10-26 10:22:52.320,20.8063,SN II
SN2022acko,"DLT22v,ATLAS22bnms,ZTF22abyivoq,,PS22mpv,Gaia23aap",49.912458,-19.395189,0.005264,2022-12-06 03:52:50.880,16.5406,SN II
SN2022acme,"PS22mjo,ZTF23aaabpao,ATLAS23aje",157.916124716,-18.5186729619,0.05,2022-12-01 14:39:36.576,21.39,SN II
SN2022acmq,"ZTF22abyiisu,ATLAS23baz",348.67649543333,21.0919752,0.031732,2022-12-09 04:35:02.400,18.91,SN II
SN2022acmt,"ZTF22abyivor,ATLAS22bnpp,Gaia23abe,PS23lx",48.982458,-18.085089,0.045,2022-12-09 05:32:38.400,18.62,SN II
SN2022acri,"ZTF22abyokkf,ATLAS23bcg,Gaia23amp",218.579875,25.882061,0.021728,2022-12-10 12:22:53.000,18.1842,SN II
SN2022acrl,"ZTF22abyohff,ATLAS23agb,PS23vm",173.587595786,15.6636974111,0.0173,2022-12-10 11:56:40.001,18.411,SN II
SN2022acwe,"ZTF22abyivxh,PS22mps,ATLAS22bnqt,Gaia23acd",37.030042,-5.72695,0.03029,2022-12-09 05:32:42.720,18.5161,SN II
SN2022acwn,"ATLAS22bnqh,ZTF22abyttje,Gaia23bda,PS23azb",98.372625,34.2436,0.015,2022-12-13 11:53:27.744,18.298,SN II
SN2022acwt,ZTF22abyllwi,312.3452174,21.1747112,0.02,2022-12-10 03:08:38.400,17.63,SN II
SN2022acyd,"ZTF22abysshb,ATLAS22bnte,Gaia23afm,PS23r",60.297333,5.54855,0.033,2022-12-15 05:57:07.200,18.3,SN II
SN2022aczs,"ZTF22abyrvsz,ATLAS22bnxl,Gaia22epp",31.332625,-23.698189,0.0304,2022-12-15 05:03:03.001,18.1506,SN II
SN2022adi,"ZTF22aaaepmu,ATLAS22dwu,PS22dyz",233.209786116,27.0392564853,0.031,2022-01-21 12:57:15.998,19.6111,SN II
SN2022adr,"ZTF22aaaehtn,ATLAS22daw,Gaia22aqk,PS22bwc",221.295708,-5.735681,0.022,2022-01-21 11:08:46.000,18.9366,SN II
SN2022adth,ZTF22abzqwmp,153.9164055,45.9403188,0.0306,2022-12-20 10:44:26.998,19.0331,SN II
SN2022adtt,"ZTF22abzdzek,ATLAS23alb",18.522052866666666,38.11811576666667,0.027,2022-12-19 05:28:43.003,19.7917,SN II
SN2022aduz,ZTF22acaexru,146.57412714999998,5.7101007500000005,0.01,2022-12-22 09:06:07.001,18.7161,SN II
SN2022advo,"ZTF22acahury,Gaia23akr,ATLAS23dsl",222.694875,73.821739,0.023293,2022-12-22 11:28:11.001,17.7545,SN II
