# Zhang et al. 2016, ApJ, 820, 67
# Table 5
# SN 2011fe UV-OPT-NIR quasi-bolometric light curve
#
# phase (days)  log(L) (erg/s)
-16.31	41.09	
-16	41.26	
-15	41.63	
-14	41.90	
-13	42.09	
-12	42.31	
-11	42.49	
-10	42.62	
-9	42.71	
-8	42.79	
-7	42.89	
-6	42.92	
-5	42.99	
-4	43.00	
-3	43.03	
-2	43.05	
-1	43.05	
1	43.05	
2	43.04	
3	43.00	
4	43.00	
5	43.00	
7	42.95	
8	42.91	
9	42.85	
10	42.78	
11	42.74	
12	42.72	
13	42.68	
14	42.65	
15	42.61	
16	42.58	
18	42.58	
19	42.53
20	42.51
21	42.49
22	42.45
23	42.45
25	42.41
26	42.40
27	42.38
33	42.25
37	42.15
44	42.03
49	41.96
55	41.88
60	41.82
64	41.77
80	41.57
92	41.45
97	41.40
104	41.33
114	41.25
120	41.18
123	41.15
140	41.03
151	40.94
158	40.91
165	40.86
171	40.80
178	40.77
185	40.73
196	40.65
206	40.58
215	40.53
228	40.46
236	40.41
248	40.34
