,_q,PGC,GWGC,HyperLEDA,2MASS,SDSS-DR12,Flag1,RAJ2000,DEJ2000,Dist,z,Bmag,BMAG,Jmag,Hmag,Kmag,Flag2,Flag3
0,1,,---,996765,01330943-0858480,---,G,23.289326,-8.980018,367.448230414,0.080734,17.626,-20.2,15.001,14.176,13.847,1,0
1,2,,---,SDSSJ012601.83-005934.4,---,---,G,21.5076,-0.99289,202.580211633,0.0449969324985,,,,,,2,1
2,3,,---,173192,00573618-0151498,---,G,14.400764,-1.863858,310.571662015,0.068823,16.509,-20.9518,13.842,13.157,12.819,1,0
3,6,,---,1554492,00490712+1815297,---,G,12.279694,18.258274,218.207233915,0.048558,16.078,-20.6163,13.838,13.131,12.892,1,1
4,14,,---,750535,02484304-2744235,---,G,42.179356,-27.739887,605.341,0.128682814341,18.2,-20.71,14.982,14.537,13.94,2,0
5,14,,---,750714,02484183-2743375,---,G,42.174332,-27.72711,602.56,0.128138284069,17.89,-21.01,15.427,14.608,14.127,2,0
6,18,,---,3212365,---,---,G,42.1644,-27.7665,276.633573282,0.0613658106829,19.17,-18.0395,,,,2,1
7,18,,---,750354,02484093-2745085,---,G,42.170567,-27.752386,559.061791489,0.119573,17.004,-21.7333,14.101,13.374,12.833,1,0
8,18,,---,750436,02484070-2744475,---,G,42.169624,-27.746553,594.292,0.126516873258,18.62,-20.25,15.462,14.555,14.254,2,0
9,18,,---,3212364,---,---,G,42.1754,-27.7582,597.035,0.127055103528,18.75,-20.13,,,,2,0
10,19,,---,3242907,---,---,G,44.2916,-26.5109,446.684,0.0970246685123,18.61,-19.64,,,,2,0
11,25,,---,3212346,02491654-2742327,---,G,42.318932,-27.709091,1056.82,0.213031246516,19.15,-20.97,15.549,14.493,14.062,2,0
12,26,,---,3212346,02491654-2742327,---,G,42.318932,-27.709091,1056.82,0.213031246516,19.15,-20.97,15.549,14.493,14.062,2,0
13,28,,---,750420,---,---,G,41.9008,-27.74719,613.762,0.130330055165,18.32,-20.62,,,,2,0
14,31,,---,750546,02481681-2744228,---,G,42.07008,-27.739687,605.341,0.128682814341,17.71,-21.2,15.476,14.703,14.075,2,0
15,31,,---,750870,02481726-2742558,---,G,42.071957,-27.715519,536.436560079,0.115083,17.442,-21.2056,14.575,13.835,13.432,1,0
16,35,,---,SDSSJ023121.43-081905.6,---,---,G,37.8393,-8.31823,2355.05,0.425002202501,,,,,,2,0
17,38,,---,SDSSJ030945.11-005123.1,---,---,G,47.438,-0.85643,1879.32,0.351301405651,,,,,,2,0
18,46,,---,SDSSJ021114.57+012908.9,---,---,G,32.8107,1.48581,1336.6,0.261933340967,,,,,,2,0
19,52,,---,1554248,01373809+1814574,---,G,24.40871,18.249285,365.778564931,0.080387,17.343,-20.4731,14.866,14.212,13.726,1,0
20,57,,---,---,02031092+3446029,---,G,30.795507,34.767475,568.682824846,0.121475,17.915,-20.8594,14.98,14.202,13.82,1,0
21,60,,---,1985763,01584791+3212221,---,G,29.699657,32.206139,562.706308493,0.120294,17.507,-21.2444,14.543,13.825,13.229,1,0
22,60,,---,---,01584619+3212054,---,G,29.692472,32.201527,427.628976365,0.093138,17.492,-20.6633,15.051,14.468,13.913,1,0
23,60,,---,SDSSJ015844.34+321232.7,---,---,G,29.6847,32.20909,2301.44,0.416878558439,,,,,,2,0
24,61,,---,1874779,01505579+2941352,---,G,27.73247,29.693113,295.723317779,0.065682,16.076,-21.2784,13.298,12.634,12.225,1,0
25,82,,---,2385515,01165317+5056461,---,G,19.221546,50.946159,194.099378337,0.043204,16.035,-20.4051,13.795,13.135,12.957,1,1
26,98,,---,2176731,00084369+4109563,---,G,2.182049,41.165665,697.796832424,0.146598,17.88,-21.3386,14.811,14.095,13.549,1,0
27,103,,---,---,00093966+5301008,---,G,2.415262,53.016911,178.415918969,0.039785,15.374,-20.8832,12.866,12.005,11.635,1,1
28,103,,---,2429682,---,---,G,2.41545,53.0167,,,16.18,,,,,0,0
29,109,,---,SDSSJ012258.97+325035.3,---,---,G,20.7457,32.84316,2398.83,0.431604815802,,,,,,2,0
30,115,,---,---,---,013146.42+294159.9,Q,22.9434452914,29.6999878026,28390.8450746,3.20484972,,,,,,1,0
31,117,,---,212833,---,---,G,26.8995,36.0319,,,,,,,,0,0
32,121,,---,SDSSJ012615.72+273617.7,---,---,G,21.5655,27.60493,1761.98,0.332509546255,,,,,,2,0
33,123,,---,4012,01074877+1628049,---,G,16.953228,16.468039,201.722406215,0.044932,15.038,-21.4858,13.426,12.639,12.193,1,1
34,126,,---,SDSSJ005918.08+204402.0,---,---,G,14.8254,20.73389,2157.74,0.394886507443,,,,,,2,0
35,147,,---,---,01322574+7056026,---,G,23.107267,70.934067,239.778756411,0.053201,15.786,-21.1131,14.027,13.274,12.96,1,1
36,166,,---,---,02482616+4803023,---,G,42.109013,48.050652,,,,,15.1,,14.182,0,0
37,168,,---,2259793,02290296+4508559,---,G,37.262356,45.148876,724.756900156,0.151754,17.641,-21.66,14.871,14.073,13.436,1,0
38,173,,---,10594,02480315+4732377,---,G,42.013161,47.543831,116.201048797,0.027481,15.368,-19.9581,12.561,11.802,11.512,3,1
39,181,,---,---,00444020+4950271,---,G,11.167506,49.840874,,,,,15.594,,14.176,0,0
40,263,,---,---,02210824+3105461,---,G,35.284374,31.096157,537.366363795,0.115268,17.56,-21.0914,14.557,13.805,13.245,1,0
41,291,,---,SDSSJ012553.78+014347.9,---,---,G,21.4742,1.72998,1513.56,0.291794515897,,,,,,2,0
42,308,,---,---,01584713+2938291,---,G,29.696405,29.64142,,,,,,14.754,14.354,0,0
43,346,,---,94500,02571212+1258584,---,G,44.300537,12.982901,280.308755817,0.062045,17.05,-20.1882,14.282,13.668,13.135,1,1
44,347,,---,94569,02571353+1326194,---,G,44.306389,13.438735,202.048070146,0.045081,16.764,-19.7633,14.258,13.559,13.295,1,1
45,349,,---,1120271,02210361-0122134,---,G,35.265079,-1.370394,410.272989712,0.089581,17.821,-20.2444,15.154,14.227,13.612,1,0
46,350,,---,SDSSJ021346.25+004225.9,---,---,G,33.4427,0.70724,959.401,0.195452557726,19.14,-20.77,,,,2,0
47,351,,---,SDSSJ024018.95-012623.8,---,---,G,40.0789,-1.43995,2051.16,0.37836033918,,,,,,2,0
48,352,,---,---,05362480-1323318,---,G,84.10334,-13.392183,646.500566901,0.136704,17.657,-21.3958,14.975,14.236,13.702,1,0
49,355,,---,840621,05570779-2031029,---,G,89.282471,-20.517494,238.354507468,0.05347,16.643,-20.2431,13.969,13.236,12.854,1,1
50,366,,---,148103,05550436-1846194,---,G,88.768196,-18.772072,233.575913831,0.052456,16.058,-20.7841,14.626,14.117,13.582,1,1
51,368,,---,---,05440421+4637365,---,G,86.017578,46.626827,,,,,15.114,,14.038,0,0
52,373,,---,---,05380977+7059189,---,G,84.540726,70.988609,734.998984913,0.153705,17.686,-21.6454,14.796,13.973,13.305,1,0
53,395,,---,887100,02580231-1712127,---,G,44.509651,-17.203529,713.841177517,0.14967,17.323,-21.945,14.104,13.32,12.868,1,0
54,398,,---,1390985,00525337+1115280,---,G,13.222399,11.257791,286.240514112,0.063292,16.251,-21.0327,13.848,13.138,12.743,1,1
